File,Zero_Crossing_Rate,RMS_Energy,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Spectral_Flatness,MFCC_1_mean,MFCC_1_std,MFCC_2_mean,MFCC_2_std,MFCC_3_mean,MFCC_3_std,MFCC_4_mean,MFCC_4_std,MFCC_5_mean,MFCC_5_std,MFCC_6_mean,MFCC_6_std,MFCC_7_mean,MFCC_7_std,MFCC_8_mean,MFCC_8_std,MFCC_9_mean,MFCC_9_std,MFCC_10_mean,MFCC_10_std,MFCC_11_mean,MFCC_11_std,MFCC_12_mean,MFCC_12_std,MFCC_13_mean,MFCC_13_std,Spectral_Contrast_1,Spectral_Contrast_2,Spectral_Contrast_3,Spectral_Contrast_4,Spectral_Contrast_5,Spectral_Contrast_6,Spectral_Contrast_7,Species
Greater_Prairie_Chicken_1_segment.wav,0.13355568445475638,0.03139746,2315.928115397638,1889.2829967257785,4202.097173633266,0.010057843,-303.6098,46.252052,60.48656,20.248888,-74.175316,28.776176,-10.887543,17.492893,-49.657944,19.028519,-20.732607,15.392755,-43.550327,16.560707,-20.731516,10.047643,-22.60536,9.5586815,-14.96498,12.379774,-24.03458,11.097229,-7.2951093,12.793237,-6.816541,13.56007,23.329397854930104,30.000531486364498,17.122508809304332,16.776427919245755,17.541089749911638,18.036216689960014,56.75001342725582,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_20_segment.wav,0.1058833925464037,0.002701726,2750.9896039469627,2560.757502394924,5647.69454212587,0.010899809,-532.2837,17.223274,41.667217,11.255623,-20.40348,8.098852,4.7454753,7.5625005,-55.225494,9.256986,-16.847403,9.874045,-52.542816,12.194808,-30.022203,9.272599,-35.884434,7.480856,-26.776367,8.740131,-32.26541,7.8198175,-11.478256,7.7231884,-20.058607,7.3835163,25.517463999818684,30.312946477459548,15.823509900482499,14.162129330042173,15.090877513274979,17.65240104489293,53.80042056606252,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_21_segment.wav,0.06617966937354988,0.0036827468,1896.0115833350521,2091.201813702048,4030.7308471396464,0.0030610026,-553.178,29.226074,72.80753,21.349888,-17.213833,11.92444,7.517772,20.36773,-46.685886,19.522476,-28.854443,14.357622,-41.51725,11.9116335,-28.264236,9.835484,-25.055386,9.523886,-22.877813,10.394361,-23.89554,10.040786,-10.953082,9.674662,-9.548086,9.122114,25.617799146812825,30.937573971509636,18.204570080604295,16.62822755958258,17.562919479851338,18.365189340585058,53.87796762465685,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_22_segment.wav,0.23789719583816704,0.0022164085,3521.522564430844,2497.513987232255,6614.315533914588,0.039492376,-538.2812,22.265213,16.448725,19.461924,-44.2882,10.839314,-1.6949033,9.425426,-63.817387,11.87871,-11.19014,10.281449,-52.66339,11.6823,-6.916583,8.632348,-34.986202,8.674321,1.6179624,9.141094,-17.541687,9.942087,4.466321,9.73175,-5.5008283,9.833172,24.929675311331223,29.015336243564175,16.621295207603612,13.811893168350394,14.364704037729334,16.42786295098195,29.461811978937334,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_23_segment.wav,0.16350058004640372,0.03290651,2773.3961688900417,2043.2262949445046,4904.824014827436,0.024279397,-411.58148,110.54156,22.046513,54.868336,-57.411648,39.45602,-0.41022846,17.687094,-16.715609,15.55009,-23.660208,11.88796,-37.295483,15.24058,-20.926577,9.686306,-18.806406,9.113011,-11.131454,11.506656,-3.9109612,11.17124,1.5566878,15.966487,0.7050642,12.904543,25.774801285954705,23.118860496364658,17.48262902915775,17.031218162645843,19.32394623624621,18.130633600572533,54.99759843157463,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_24_segment.wav,0.08898614232888631,0.009248217,2031.1651443779972,1924.9666941432215,3988.488797853828,0.0041898387,-517.3487,95.8141,57.55907,32.013786,-34.31252,54.422432,12.403242,22.71873,-38.159077,23.957232,-20.718163,13.477792,-40.6581,15.115883,-29.832607,13.273434,-35.23433,15.02789,-25.797174,12.87333,-25.389597,12.769152,-17.536846,14.04311,-4.65222,15.130414,25.815946317256966,33.0956481909285,19.797835280688908,19.480726425859345,18.59265568901521,18.3938581871857,55.99087745666456,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_25_segment.wav,0.0747092970562645,0.0048986156,1872.0707830211138,1909.636504441392,3748.550960248695,0.0032707616,-537.4232,63.41176,75.15284,25.236265,-33.184673,35.524708,5.6378064,25.89098,-44.463234,18.045471,-25.484102,12.028731,-41.18316,18.663021,-35.509735,10.329185,-28.116701,14.032474,-25.498854,9.429253,-19.941628,9.297436,-13.239408,11.480967,-3.091281,11.667612,25.247206736773215,29.605508376950766,17.63163184783713,16.084023399303767,18.27747136114617,18.504788184707895,54.38103965176767,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_26_segment.wav,0.07231433983468677,0.010059138,1741.305178716535,1876.3253954249906,3281.8899769794084,0.002113567,-504.54224,118.380486,67.34646,26.84923,-30.893929,62.821632,9.957033,20.61304,-37.069923,14.162674,-26.136003,12.589598,-49.61101,16.941818,-31.822872,12.987023,-40.557354,8.568832,-27.188585,11.649439,-27.848682,12.006267,-17.205124,12.898029,-7.61859,12.385698,25.36588453897848,32.54083132215241,21.566243216721997,18.959647773901246,18.621883347928986,18.00121610176515,54.67957309169295,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_27_segment.wav,0.08525322650812064,0.020496098,1688.296499966374,1742.5072855335698,3055.3916559418503,0.0030020445,-397.36838,45.201572,84.52548,21.691357,-33.89449,24.517916,-25.520203,17.486086,-30.35354,22.61442,-27.651896,17.909807,-44.542145,17.501411,-30.420534,11.450832,-29.385368,10.974077,-13.649289,13.45961,-8.31677,15.871782,-9.234895,12.378635,0.88727856,11.560053,24.98187798650165,33.55525674295541,20.167043497180106,19.17530291038856,19.854269984354914,19.33515613591317,57.509159037295305,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_28_segment.wav,0.2016760168938515,0.008215006,3189.042509318698,2506.7421425510233,6118.402368673869,0.049573366,-331.73013,10.431097,28.2385,9.27785,-66.01501,6.6394887,-35.547497,5.44354,-67.20135,8.399089,-27.138355,7.4811635,-58.36365,7.390113,-27.591806,5.1947856,-39.41365,6.0298376,-20.919714,6.6853223,-26.23307,7.2398114,-11.8049755,6.72396,-19.157478,5.9682283,24.994731866069934,26.086051144334757,13.254373252869366,13.160413224685213,14.77986878457018,16.119479662480785,53.40661670179793,Greater Prairie Chicken_filtered
